"id","code","name","country_id/id"
"__export__.res_country_state_53","AC","Acre","base.br"
"__export__.res_country_state_65","AL","Alagoas","base.br"
"__export__.res_country_state_54","AM","Amazonas","base.br"
"__export__.res_country_state_57","AP","Amapá","base.br"
"__export__.res_country_state_67","BA","Bahia","base.br"
"__export__.res_country_state_61","CE","Ceará","base.br"
"__export__.res_country_state_78","DF","Distrito Federal","base.br"
"__export__.res_country_state_69","ES","Espírito Santo","base.br"
"__export__.res_country_state_77","GO","Goiás","base.br"
"__export__.res_country_state_59","MA","Maranhão","base.br"
"__export__.res_country_state_68","MG","Minas Gerais","base.br"
"__export__.res_country_state_75","MS","Mato Grosso do Sul","base.br"
"__export__.res_country_state_76","MT","Mato Grosso","base.br"
"__export__.res_country_state_56","PA","Pará","base.br"
"__export__.res_country_state_63","PB","Paraíba","base.br"
"__export__.res_country_state_64","PE","Pernambuco","base.br"
"__export__.res_country_state_60","PI","Piauí","base.br"
"__export__.res_country_state_72","PR","Paraná","base.br"
"__export__.res_country_state_70","RJ","Rio de Janeiro","base.br"
"__export__.res_country_state_62","RN","Rio Grande do Norte","base.br"
"__export__.res_country_state_52","RO","Rondônia","base.br"
"__export__.res_country_state_55","RR","Roraima","base.br"
"__export__.res_country_state_74","RS","Rio Grande do Sul","base.br"
"__export__.res_country_state_73","SC","Santa Catarina","base.br"
"__export__.res_country_state_66","SE","Sergipe","base.br"
"__export__.res_country_state_71","SP","São Paulo","base.br"
"__export__.res_country_state_58","TO","Tocantins","base.br"
