"id","al_icms","observacao","rd_icms"
"__export__.sped_aliquotaicmssn_1","-1.0","Não tributado",""
"__export__.sped_aliquotaicmssn_2","","Serviços, locação, isenção para a faixa de receita bruta",""
"__export__.sped_aliquotaicmssn_3","1.25","Comércio e indústria – até R$   180.000,00",""
"__export__.sped_aliquotaicmssn_4","1.86","Comércio e indústria – até R$   360.000,00",""
"__export__.sped_aliquotaicmssn_5","2.33","Comércio e indústria – até R$   540.000,00",""
"__export__.sped_aliquotaicmssn_6","2.56","Comércio e indústria – até R$   720.000,00",""
"__export__.sped_aliquotaicmssn_7","2.58","Comércio e indústria – até R$   900.000,00",""
"__export__.sped_aliquotaicmssn_8","2.82","Comércio e indústria – até R$ 1.080.000,00",""
"__export__.sped_aliquotaicmssn_9","2.84","Comércio e indústria – até R$ 1.260.000,00",""
"__export__.sped_aliquotaicmssn_10","2.87","Comércio e indústria – até R$ 1.440.000,00",""
"__export__.sped_aliquotaicmssn_11","3.07","Comércio e indústria – até R$ 1.620.000,00",""
"__export__.sped_aliquotaicmssn_12","3.10","Comércio e indústria – até R$ 1.800.000,00",""
"__export__.sped_aliquotaicmssn_13","3.38","Comércio e indústria – até R$ 1.980.000,00",""
"__export__.sped_aliquotaicmssn_14","3.41","Comércio e indústria – até R$ 2.160.000,00",""
"__export__.sped_aliquotaicmssn_15","3.45","Comércio e indústria – até R$ 2.340.000,00",""
"__export__.sped_aliquotaicmssn_16","3.48","Comércio e indústria – até R$ 2.520.000,00",""
"__export__.sped_aliquotaicmssn_17","3.51","Comércio e indústria – até R$ 2.700.000,00",""
"__export__.sped_aliquotaicmssn_18","3.82","Comércio e indústria – até R$ 2.880.000,00",""
"__export__.sped_aliquotaicmssn_19","3.85","Comércio e indústria – até R$ 3.060.000,00",""
"__export__.sped_aliquotaicmssn_20","3.88","Comércio e indústria – até R$ 3.240.000,00",""
"__export__.sped_aliquotaicmssn_21","3.91","Comércio e indústria – até R$ 3.420.000,00",""
"__export__.sped_aliquotaicmssn_22","3.95","Comércio e indústria – até R$ 3.600.000,00",""
