"id","al_ipi","md_ipi","cst_ipi_saida","cst_ipi_entrada"
"__export__.sped_aliquotaipi_1","-1.0","0","53","03"
"__export__.sped_aliquotaipi_2","","0","51","01"
"__export__.sped_aliquotaipi_3","2.0","0","50","00"
"__export__.sped_aliquotaipi_4","3.0","0","50","00"
"__export__.sped_aliquotaipi_5","4.0","0","50","00"
"__export__.sped_aliquotaipi_6","5.0","0","50","00"
"__export__.sped_aliquotaipi_7","7.0","0","50","00"
"__export__.sped_aliquotaipi_8","8.0","0","50","00"
"__export__.sped_aliquotaipi_9","10.0","0","50","00"
"__export__.sped_aliquotaipi_10","12.0","0","50","00"
"__export__.sped_aliquotaipi_11","13.0","0","50","00"
"__export__.sped_aliquotaipi_12","15.0","0","50","00"
"__export__.sped_aliquotaipi_13","16.0","0","50","00"
"__export__.sped_aliquotaipi_14","18.0","0","50","00"
"__export__.sped_aliquotaipi_15","20.0","0","50","00"
"__export__.sped_aliquotaipi_16","22.0","0","50","00"
"__export__.sped_aliquotaipi_17","24.0","0","50","00"
"__export__.sped_aliquotaipi_18","25.0","0","50","00"
"__export__.sped_aliquotaipi_19","27.0","0","50","00"
"__export__.sped_aliquotaipi_20","30.0","0","50","00"
"__export__.sped_aliquotaipi_21","35.0","0","50","00"
"__export__.sped_aliquotaipi_22","40.0","0","50","00"
"__export__.sped_aliquotaipi_23","42.0","0","50","00"
"__export__.sped_aliquotaipi_24","45.0","0","50","00"
"__export__.sped_aliquotaipi_25","50.0","0","50","00"
"__export__.sped_aliquotaipi_26","60.0","0","50","00"
"__export__.sped_aliquotaipi_28","300.0","0","50","00"
"__export__.sped_aliquotaipi_27","330.0","0","50","00"
