"id","al_cofins","al_pis","codigo_justificativa","md_pis_cofins","cst_pis_cofins_entrada","cst_pis_cofins_saida"
"__export__.sped_aliquotapiscofins_73","0","0","106","0","70","04"
"__export__.sped_aliquotapiscofins_58","0","0","314","0","73","06"
"__export__.sped_aliquotapiscofins_59","0","0","126","0","73","06"
"__export__.sped_aliquotapiscofins_60","0","0","316","0","73","06"
"__export__.sped_aliquotapiscofins_61","0","0","124","0","73","06"
"__export__.sped_aliquotapiscofins_62","0","0","758","0","70","04"
"__export__.sped_aliquotapiscofins_63","0","0","990","0","70","04"
"__export__.sped_aliquotapiscofins_64","0","0","752","0","70","04"
"__export__.sped_aliquotapiscofins_65","0","0","128","0","73","06"
"__export__.sped_aliquotapiscofins_66","0","0","130","0","73","06"
"__export__.sped_aliquotapiscofins_67","0","0","106","0","73","06"
"__export__.sped_aliquotapiscofins_68","0","0","313","0","73","06"
"__export__.sped_aliquotapiscofins_69","0","0","102","0","75","05"
"__export__.sped_aliquotapiscofins_72","0","0","128","0","70","04"
"__export__.sped_aliquotapiscofins_57","0","0","310","0","73","06"
"__export__.sped_aliquotapiscofins_39","0","0","","0","71","07"
"__export__.sped_aliquotapiscofins_2","0","0","101","0","70","04"
"__export__.sped_aliquotapiscofins_3","0","0","102","0","70","04"
"__export__.sped_aliquotapiscofins_4","0","0","103","0","70","04"
"__export__.sped_aliquotapiscofins_5","0","0","104","0","70","04"
"__export__.sped_aliquotapiscofins_6","0","0","107","0","70","04"
"__export__.sped_aliquotapiscofins_7","0","0","109","0","70","04"
"__export__.sped_aliquotapiscofins_8","0","0","112","0","70","04"
"__export__.sped_aliquotapiscofins_40","0","0","","0","50","01"
"__export__.sped_aliquotapiscofins_41","0","0","104","0","73","06"
"__export__.sped_aliquotapiscofins_42","0","0","125","0","73","06"
"__export__.sped_aliquotapiscofins_43","0","0","122","0","73","06"
"__export__.sped_aliquotapiscofins_44","0","0","101","0","73","06"
"__export__.sped_aliquotapiscofins_45","0","0","962","0","70","04"
"__export__.sped_aliquotapiscofins_46","0","0","317","0","73","06"
"__export__.sped_aliquotapiscofins_47","0","0","121","0","73","06"
"__export__.sped_aliquotapiscofins_48","0","0","914","0","73","06"
"__export__.sped_aliquotapiscofins_49","0","0","113","0","70","04"
"__export__.sped_aliquotapiscofins_50","0","0","762","0","70","04"
"__export__.sped_aliquotapiscofins_51","0","0","756","0","70","04"
"__export__.sped_aliquotapiscofins_52","0","0","970","0","70","04"
"__export__.sped_aliquotapiscofins_53","0","0","102","0","73","06"
"__export__.sped_aliquotapiscofins_54","0","0","111","0","70","04"
"__export__.sped_aliquotapiscofins_55","0","0","315","0","73","06"
"__export__.sped_aliquotapiscofins_9","0","0","201","0","70","04"
"__export__.sped_aliquotapiscofins_10","0","0","202","0","70","04"
"__export__.sped_aliquotapiscofins_11","0","0","301","0","70","04"
"__export__.sped_aliquotapiscofins_12","0","0","304","0","70","04"
"__export__.sped_aliquotapiscofins_13","0","0","701","0","70","04"
"__export__.sped_aliquotapiscofins_14","0","0","703","0","70","04"
"__export__.sped_aliquotapiscofins_15","0","0","705","0","70","04"
"__export__.sped_aliquotapiscofins_16","0","0","707","0","70","04"
"__export__.sped_aliquotapiscofins_17","0","0","920","0","70","04"
"__export__.sped_aliquotapiscofins_18","0","0","101","0","75","05"
"__export__.sped_aliquotapiscofins_19","0","0","201","0","75","05"
"__export__.sped_aliquotapiscofins_20","0","0","105","0","73","06"
"__export__.sped_aliquotapiscofins_21","0","0","107","0","73","06"
"__export__.sped_aliquotapiscofins_22","0","0","108","0","73","06"
"__export__.sped_aliquotapiscofins_23","0","0","109","0","73","06"
"__export__.sped_aliquotapiscofins_24","0","0","113","0","73","06"
"__export__.sped_aliquotapiscofins_56","0","0","129","0","73","06"
"__export__.sped_aliquotapiscofins_25","0","0","114","0","73","06"
"__export__.sped_aliquotapiscofins_26","0","0","115","0","73","06"
"__export__.sped_aliquotapiscofins_27","0","0","116","0","73","06"
"__export__.sped_aliquotapiscofins_28","0","0","117","0","73","06"
"__export__.sped_aliquotapiscofins_29","0","0","118","0","73","06"
"__export__.sped_aliquotapiscofins_30","0","0","119","0","73","06"
"__export__.sped_aliquotapiscofins_31","0","0","201","0","73","06"
"__export__.sped_aliquotapiscofins_32","0","0","301","0","73","06"
"__export__.sped_aliquotapiscofins_33","0","0","302","0","73","06"
"__export__.sped_aliquotapiscofins_34","0","0","303","0","73","06"
"__export__.sped_aliquotapiscofins_35","0","0","309","0","73","06"
"__export__.sped_aliquotapiscofins_36","0","0","209","0","72","09"
"__export__.sped_aliquotapiscofins_37","0","0","405","0","72","09"
"__export__.sped_aliquotapiscofins_38","0","0","","0","74","08"
"__export__.sped_aliquotapiscofins_71","0","0","108","0","70","04"
"__export__.sped_aliquotapiscofins_1","3.0","0.65","","0","50","01"
"__export__.sped_aliquotapiscofins_70","7.6","1.65","","0","50","01"
